episodio,recompensa
2750,2110.0
3000,1140.0
3250,1030.0
3500,1280.0
3750,1320.0
4000,1630.0
4250,500.0
4500,1470.0
4750,1160.0
5000,1680.0
5250,4330.0
5500,930.0
7250,1450.0
