episodio,recompensa
500,710.0
1000,2480.0
1500,2680.0
2000,1470.0
2500,3650.0
3000,720.0
3500,3410.0
4000,2470.0
4500,3610.0
5000,2440.0
5500,1780.0
6000,2350.0
6500,2680.0
7000,2490.0
